received_at	application_id	device_id	f_port	f_cnt	rssi	snr	data_rate_index	consumed_airtime	frm_payload	decoded_payload
2021-09-16T11:49:01.050375732Z	ardunio-uno-app	testt	1	112	-35	9.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:49:09.551621626Z	ardunio-uno-app	testt	1	113	-33	9.75	5	0.082176s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:49:17.867401928Z	ardunio-uno-app	testt	1	114	-33	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:49:26.185527767Z	ardunio-uno-app	testt	1	115	-30	7	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:49:34.605346269Z	ardunio-uno-app	testt	1	116	-31	9.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:49:43.949208004Z	ardunio-uno-app	testt	1	117	-33	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:49:52.322813858Z	ardunio-uno-app	testt	1	118	-33	10.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:00.659465529Z	ardunio-uno-app	testt	1	119	-33	9.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:09.043421142Z	ardunio-uno-app	testt	1	120	-33	7.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:17.411262027Z	ardunio-uno-app	testt	1	121	-31	7.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:26.781052022Z	ardunio-uno-app	testt	1	122	-33	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:35.139770364Z	ardunio-uno-app	testt	1	123	-33	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:43.625537733Z	ardunio-uno-app	testt	1	124	-31	7.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:50:51.902745775Z	ardunio-uno-app	testt	1	125	-31	8.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:51:00.299180947Z	ardunio-uno-app	testt	1	126	-34	10	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:51:09.654747344Z	ardunio-uno-app	testt	1	127	-31	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:51:18.057638651Z	ardunio-uno-app	testt	1	128	-31	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:51:26.389077495Z	ardunio-uno-app	testt	1	129	-33	9.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:51:34.759404640Z	ardunio-uno-app	testt	1	130	-34	10.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:51:43.129948913Z	ardunio-uno-app	testt	1	131	-30	8.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
